datetime,close,percent_b
2020-08-31,129.04,0.182155
2020-08-28,124.808,0.178496
2020-08-27,125.01,0.113087
2020-08-26,126.522,-0.137103
2020-08-25,124.825,-0.0746975
2020-08-24,125.858,-0.040777
2020-08-21,124.37,0.0537925
2020-08-20,118.275,0.0392451
2020-08-19,115.707,0.0973843
2020-08-18,115.562,0.251414
2020-08-17,114.608,0.267818
2020-08-14,114.907,0.327546
2020-08-13,115.01,0.288986
2020-08-12,113.01,0.315387
2020-08-11,109.375,0.372894
2020-08-10,112.728,0.36814
2020-08-07,111.112,0.333118
2020-08-06,113.903,0.36864
2020-08-05,110.062,0.380293
2020-08-04,109.665,0.380276
2020-08-03,108.938,0.271072
2020-07-31,106.26,0.277017
2020-07-30,96.19,-0.053948
2020-07-29,95.04,0.0281688
2020-07-28,93.2525,0.101185
2020-07-27,94.81,0.0663665
2020-07-24,92.615,-0.0323028
2020-07-23,92.845,0.230885
2020-07-22,97.2725,0.154782
2020-07-21,97,0.311144
2020-07-20,98.3575,0.183456
2020-07-17,96.3275,0.0462945
2020-07-16,96.5225,0.13215
2020-07-15,97.725,0.165349
2020-07-14,97.0575,0.198177
2020-07-13,95.4775,0.0523204
2020-07-10,95.92,0.0287716
2020-07-09,95.7525,0.0260089
2020-07-08,95.3425,0.384008
2020-07-07,93.1725,0.206099
2020-07-06,93.4625,0.0192553
2020-07-02,91.0275,0.0275623
2020-07-01,91.0275,-0.0616653
2020-06-30,91.2,0.0590281
2020-06-29,90.445,0.0798351
2020-06-26,88.4075,0.103027
2020-06-25,91.21,0.0916606
2020-06-24,90.015,0.134275
2020-06-23,91.6325,0.166672
2020-06-22,89.7175,0.165739
2020-06-19,87.43,0.227362
2020-06-18,87.9325,0.217909
2020-06-17,87.8975,0.284469
2020-06-16,88.02,0.189314
2020-06-15,85.7475,0.24402
2020-06-12,84.7,0.120726
2020-06-11,83.975,0.193612
2020-06-10,88.21,0.184997
2020-06-09,85.9975,0.265493
2020-06-08,83.365,0.383518
2020-06-05,82.875,0.212688
2020-06-04,80.58,-0.0249837
2020-06-03,81.28,-0.0512118
2020-06-02,80.835,-0.0710742
2020-06-01,80.4625,-0.101267
2020-05-29,79.485,-0.0979768
2020-05-28,79.5625,0.0936958
2020-05-27,79.5275,0.0126149
2020-05-26,79.1825,-0.081817
2020-05-22,79.7225,0.0782669
2020-05-21,79.2125,0.11938
2020-05-20,79.8075,0.0310767
2020-05-19,78.285,0.0972044
2020-05-18,78.74,0.0268944
2020-05-15,76.9275,0.206187
2020-05-14,77.385,0.330344
2020-05-13,76.9125,0.418214
2020-05-12,77.8525,0.393474
2020-05-11,78.7525,0.466055
2020-05-08,77.5325,0.184423
2020-05-07,75.935,0.0803758
2020-05-06,75.1575,0.0674719
2020-05-05,74.39,-0.0346227
2020-05-04,73.29,0.0840909
2020-05-01,72.2675,-0.21311
2020-04-30,73.45,-0.0349334
2020-04-29,71.9325,-0.022056
2020-04-28,69.645,0.235274
2020-04-27,70.7925,0.267802
2020-04-24,70.7425,0.18309
2020-04-23,68.7575,0.379504
2020-04-22,69.025,0.192353
2020-04-21,67.0925,0.242292
2020-04-20,69.2325,-0.022013
2020-04-17,70.7,0.102213
2020-04-16,71.6725,0.337381
2020-04-15,71.1075,0.384206
2020-04-14,71.7625,0.507077
2020-04-13,68.3125,0.333573
2020-04-09,66.9975,1.05002
2020-04-08,66.5175,0.474013
2020-04-07,64.8575,1.00389
2020-04-06,65.6175,1.07954
2020-04-03,60.3525,0.748002
2020-04-02,61.2325,1.0251
2020-04-01,60.2275,0.991982
2020-03-31,63.5725,1.02064
2020-03-30,63.7025,0.82404
2020-03-27,61.935,0.882447
2020-03-26,64.61,0.595847
2020-03-25,61.38,0.589273
2020-03-24,61.72,0.767646
2020-03-23,56.0925,0.697615
2020-03-20,57.31,0.787305
2020-03-19,61.195,0.927994
2020-03-18,61.6675,0.957647
2020-03-17,63.215,0.944411
2020-03-16,60.5525,0.855044
2020-03-13,69.4925,0.902181
2020-03-12,62.0575,0.85656
2020-03-11,68.8575,0.869313
2020-03-10,71.335,0.745055
2020-03-09,66.5425,0.745026
2020-03-06,72.2575,0.707709
2020-03-05,73.23,0.75548
2020-03-04,75.685,0.681718
2020-03-03,72.33,0.631968
2020-03-02,74.7025,0.470313
2020-02-28,68.34,0.474689
2020-02-27,68.38,0.678288
2020-02-26,73.1625,0.683517
2020-02-25,72.02,0.504921
2020-02-24,74.545,0.165648
2020-02-21,78.2625,0.44309
2020-02-20,80.075,0.469975
2020-02-19,80.905,0.403613
2020-02-18,79.75,0.36577
2020-02-14,81.2375,0.469695
2020-02-13,81.2175,0.322996
2020-02-12,81.8,0.169841
2020-02-11,79.9025,0.254988
2020-02-10,80.3875,0.480313
2020-02-07,80.0075,0.177218
2020-02-06,81.3025,0.179321
